id,name,lat,lon,all_sz
0507320,Harmony Grove School District,34.5,-92.638,84.0
0507350,Harrisburg School District,35.586,-90.868,103.0
0507380,Harrison School District,36.189,-93.164,210.0
0507530,Hazen School District,34.747,-91.528,49.0
0507560,Heber Springs School District,35.492,-91.997,136.0
0507620,Hector School District,35.636,-92.937,46.0
0507680,Helena/ W.Helena School Dist.,34.559,-90.631,203.0
0507710,Hermitage School District,33.356,-92.147,34.0
0507740,Cross County School District,35.355,-90.71,47.0
0507770,Highland School District,36.259,-91.516,125.0
0507840,Hope School District,33.654,-93.552,186.0
0507860,Horatio School District,33.902,-94.324,65.0
0507890,Hot Springs School District,34.475,-93.082,278.0
0507920,Jessieville School District,34.704,-93.099,69.0
0507990,Hoxie School District,36.008,-91.042,71.0
0508010,Hughes School District,34.994,-90.46,28.0
0508040,West Memphis School District,35.1,-90.248,430.0
0508130,Huntsville School District,35.952,-93.767,180.0
